Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
UVXY,1364843,0,0.00,0,0.00,14.21,1356115,8728
VXX,1033200,0,0.00,0,0.00,21.23,1015636,17564
UVIX,1030311,0,0.00,0,0.00,2.99,1024879,5432
IEFA,606986,0,0.00,0,0.00,66.90,603915,3071
USHY,460787,0,0.00,0,0.00,35.29,452791,7996
VIXY,427363,0,0.00,0,0.00,21.24,423168,4195
ITB,313057,0,0.00,0,0.00,87.49,311241,1816
ARKG,259530,0,0.00,0,0.00,32.41,259077,453
INDA,234749,0,0.00,0,0.00,44.28,196819,37930
GOVT,221731,0,0.00,0,0.00,22.44,220986,745
USMV,160688,0,0.00,0,0.00,75.03,160588,100
CBOE,154375,0,0.00,0,0.00,150.36,153394,981
IGV,152383,0,0.00,0,0.00,361.71,151931,452
EZU,133562,0,0.00,0,0.00,44.54,130490,3072
FLOT,131010,0,0.00,0,0.00,50.64,130336,674
SVIX,114865,0,0.00,0,0.00,31.43,114769,96
EFV,110596,0,0.00,0,0.00,49.51,110564,32
ECH,109591,0,0.00,0,0.00,28.46,109243,348
SVXY,101551,0,0.00,0,0.00,90.89,101458,93
COWZ,95333,0,0.00,0,0.00,51.60,95333,0
GVI,94304,0,0.00,0,0.00,102.29,94304,0
BITX,92399,0,0.00,0,0.00,9.76,91739,660
PSEP,91887,0,0.00,0,0.00,33.34,89590,2297
NOBL,78897,0,0.00,0,0.00,94.57,78896,1
BUFR,72736,0,0.00,0,0.00,25.35,67247,5489
BBJP,69242,0,0.00,0,0.00,51.76,62312,6930
MOAT,64142,0,0.00,0,0.00,80.73,63851,291
VUSB,62980,0,0.00,0,0.00,49.06,61537,1443
AAAU,61905,0,0.00,0,0.00,19.23,61805,100
QUAL,60924,0,0.00,0,0.00,139.84,60804,120
ICSH,60363,0,0.00,0,0.00,50.18,59252,1111
PAVE,59298,0,0.00,0,0.00,32.61,51318,7980
HEFA,59230,0,0.00,0,0.00,30.52,59230,0
TLTW,48765,0,0.00,0,0.00,30.87,48486,279
IAGG,45540,0,0.00,0,0.00,49.30,44176,1364
IYT,44258,0,0.00,0,0.00,250.43,43140,1118
ITA,43139,0,0.00,0,0.00,116.44,43072,67
VNM,42898,0,0.00,0,0.00,15.13,42798,100
HYD,42492,0,0.00,0,0.00,50.47,41808,684
JMST,42315,0,0.00,0,0.00,50.47,38052,4263
CALF,42072,0,0.00,0,0.00,43.58,41872,200
RDVI,40523,0,0.00,0,0.00,22.17,40123,400
REM,40112,0,0.00,0,0.00,24.30,40112,0
BBEU,38893,0,0.00,0,0.00,53.24,36428,2465
DFIC,36138,0,0.00,0,0.00,24.39,34629,1509
EEMV,32517,0,0.00,0,0.00,54.55,31829,688
OMFL,32305,0,0.00,0,0.00,49.47,32112,193
MTUM,29193,0,0.00,0,0.00,147.26,28946,247
IDV,26369,0,0.00,0,0.00,26.44,26350,19
MLN,25756,0,0.00,0,0.00,17.34,25356,400
NEAR,25328,0,0.00,0,0.00,49.72,25328,0
PDEC,24830,0,0.00,0,0.00,33.75,24830,0
ACWV,24464,0,0.00,0,0.00,97.65,24206,258
KNG,21706,0,0.00,0,0.00,52.49,21382,324
ARKQ,21664,0,0.00,0,0.00,55.21,21664,0
GJUL,21573,0,0.00,0,0.00,30.76,21573,0
BSEP,21398,0,0.00,0,0.00,34.90,21398,0
EFAV,21088,0,0.00,0,0.00,67.17,20611,477
IYZ,20963,0,0.00,0,0.00,22.74,20963,0
FBCV,19766,0,0.00,0,0.00,28.23,19766,0
WTAI,19348,0,0.00,0,0.00,18.72,19348,0
CNYA,19020,0,0.00,0,0.00,28.96,18610,410
VIXM,18793,0,0.00,0,0.00,19.05,18793,0
EFG,18637,0,0.00,0,0.00,91.87,18423,214
PTLC,18616,0,0.00,0,0.00,41.99,18418,198
PICK,18221,0,0.00,0,0.00,40.86,18115,106
ESGV,16608,0,0.00,0,0.00,79.65,15626,982
GCOW,16411,0,0.00,0,0.00,33.90,16411,0
VLUE,16248,0,0.00,0,0.00,95.16,16031,217
BBCA,16213,0,0.00,0,0.00,61.13,16213,0
BBAX,15709,0,0.00,0,0.00,47.19,14709,1000
NULV,14341,0,0.00,0,0.00,35.26,14341,0
XBJL,14149,0,0.00,0,0.00,29.20,13749,400
ICVT,14013,0,0.00,0,0.00,75.99,11313,2700
DDLS,13484,0,0.00,0,0.00,31.67,13484,0
SPYI,12598,0,0.00,0,0.00,49.50,12598,0
FAUG,12365,0,0.00,0,0.00,38.67,12261,104
NULG,12247,0,0.00,0,0.00,63.99,12247,0
TJUL,12049,0,0.00,0,0.00,24.87,12049,0
IFRA,11842,0,0.00,0,0.00,39.29,11842,0
ITM,11837,0,0.00,0,0.00,45.23,11782,55
NUMG,11579,0,0.00,0,0.00,39.49,11579,0
NUSC,11085,0,0.00,0,0.00,37.46,11085,0
ICF,11055,0,0.00,0,0.00,54.44,11037,18
HYMU,10865,0,0.00,0,0.00,21.05,10865,0
IEO,10737,0,0.00,0,0.00,100.39,10737,0
XBJA,10722,0,0.00,0,0.00,24.97,10322,400
IQDG,10693,0,0.00,0,0.00,33.75,10193,500
FLBL,10325,0,0.00,0,0.00,24.09,10144,181
FBCG,10152,0,0.00,0,0.00,30.87,9152,1000
BUFD,10120,0,0.00,0,0.00,21.76,10120,0
BBUS,9928,0,0.00,0,0.00,81.34,9528,400
NUDM,9710,0,0.00,0,0.00,28.34,9710,0
VXZ,9496,0,0.00,0,0.00,16.34,9297,199
NUEM,9442,0,0.00,0,0.00,27.12,9442,0
IGE,9421,0,0.00,0,0.00,42.61,9421,0
TMFS,9354,0,0.00,0,0.00,29.39,8763,591
DFIS,9286,0,0.00,0,0.00,23.11,9270,16
LEAD,9267,0,0.00,0,0.00,58.26,9267,0
SMDV,8803,0,0.00,0,0.00,61.05,8803,0
SMIN,8799,0,0.00,0,0.00,63.88,7792,1007
FRDM,8773,0,0.00,0,0.00,30.50,8773,0
NETZ,8385,0,0.00,0,0.00,53.58,8385,0
TDV,8315,0,0.00,0,0.00,66.88,8315,0
ICOW,8303,0,0.00,0,0.00,30.74,8003,300
PAUG,8296,0,0.00,0,0.00,31.93,7930,366
BUYW,8153,0,0.00,0,0.00,13.51,8153,0
GOVZ,8028,0,0.00,0,0.00,11.66,8028,0
NUMV,7905,0,0.00,0,0.00,30.24,7905,0
REGL,7792,0,0.00,0,0.00,70.29,7189,603
BOXX,7723,0,0.00,0,0.00,103.24,6101,1622
FNOV,7602,0,0.00,0,0.00,40.82,7602,0
SYLD,7365,0,0.00,0,0.00,64.11,7365,0
PAPR,7331,0,0.00,0,0.00,31.28,7231,100
FFEB,7306,0,0.00,0,0.00,40.38,5206,2100
VFVA,7187,0,0.00,0,0.00,104.82,7187,0
JMUB,7167,0,0.00,0,0.00,49.33,6882,285
SECT,7123,0,0.00,0,0.00,44.23,7123,0
USEP,6744,0,0.00,0,0.00,30.07,6744,0
XBAP,6742,0,0.00,0,0.00,29.36,6742,0
OILK,6589,0,0.00,0,0.00,48.28,6589,0
GSUS,6564,0,0.00,0,0.00,61.75,5764,800
IBHD,6556,0,0.00,0,0.00,23.10,6556,0
LVHI,6501,0,0.00,0,0.00,27.49,6501,0
JUCY,6416,0,0.00,0,0.00,24.34,6416,0
POCT,6137,0,0.00,0,0.00,34.00,6137,0
FMIL,5999,0,0.00,0,0.00,34.34,4799,1200
RPHS,5977,0,0.00,0,0.00,8.95,5977,0
DIHP,5879,0,0.00,0,0.00,24.31,4392,1487
QJUN,5832,0,0.00,0,0.00,22.54,5832,0
FJUN,5760,0,0.00,0,0.00,42.00,5047,713
TMFC,5695,0,0.00,0,0.00,41.55,3747,1948
VSGX,5629,0,0.00,0,0.00,52.79,5629,0
JCPB,5365,0,0.00,0,0.00,45.63,5332,33
EMGF,5233,0,0.00,0,0.00,42.23,5233,0
CEMB,5154,0,0.00,0,0.00,42.74,4821,333
ESML,5047,0,0.00,0,0.00,36.30,4947,100
DWAT,4853,0,0.00,0,0.00,10.19,4853,0
GAUG,4852,0,0.00,0,0.00,30.31,4852,0
TFJL,4802,0,0.00,0,0.00,19.44,4802,0
FGRO,4797,0,0.00,0,0.00,17.36,4697,100
OMFS,4745,0,0.00,0,0.00,36.87,4745,0
FLQM,4696,0,0.00,0,0.00,45.47,4696,0
SMMV,4661,0,0.00,0,0.00,34.54,3998,663
PSFF,4651,0,0.00,0,0.00,24.68,4651,0
XJUL,4534,0,0.00,0,0.00,30.86,4534,0
RSBT,4343,0,0.00,0,0.00,17.65,4343,0
FMAY,4311,0,0.00,0,0.00,39.45,4311,0
MFUL,4300,0,0.00,0,0.00,21.55,4300,0
YPS,4086,0,0.00,0,0.00,22.19,4086,0
SMOT,3998,0,0.00,0,0.00,30.16,3998,0
IGLD,3966,0,0.00,0,0.00,18.85,3966,0
FOCT,3879,0,0.00,0,0.00,38.33,3879,0
FJUL,3792,0,0.00,0,0.00,39.66,3782,10
PTMC,3701,0,0.00,0,0.00,33.54,3640,61
MOHR,3695,0,0.00,0,0.00,19.48,3695,0
DISV,3607,0,0.00,0,0.00,24.60,3607,0
PJUN,3489,0,0.00,0,0.00,32.01,2140,1349
FAPR,3485,0,0.00,0,0.00,33.27,3439,46
BBIN,3454,0,0.00,0,0.00,54.22,3454,0
FLQL,3407,0,0.00,0,0.00,45.49,2063,1344
UNOV,3400,0,0.00,0,0.00,31.25,2100,1300
JULJ,3377,0,0.00,0,0.00,25.14,3286,91
JULH,3370,0,0.00,0,0.00,25.15,2965,405
FSEP,3214,0,0.00,0,0.00,38.53,3214,0
UOCT,3208,0,0.00,0,0.00,30.32,3208,0
FJAN,3175,0,0.00,0,0.00,37.70,3175,0
BALT,3165,0,0.00,0,0.00,28.16,3165,0
SHYD,3146,0,0.00,0,0.00,22.02,3146,0
FMAR,3117,0,0.00,0,0.00,36.07,3117,0
XMPT,3101,0,0.00,0,0.00,20.35,3101,0
FLIA,2959,0,0.00,0,0.00,19.66,2959,0
JPLD,2952,0,0.00,0,0.00,49.87,2904,48
FDEC,2940,0,0.00,0,0.00,36.59,2940,0
PRNT,2938,0,0.00,0,0.00,22.17,2938,0
EMDV,2909,0,0.00,0,0.00,45.18,2909,0
UAPR,2807,0,0.00,0,0.00,26.37,2807,0
IBHE,2786,0,0.00,0,0.00,22.97,2786,0
IGHG,2704,0,0.00,0,0.00,73.41,2704,0
ATMP,2703,0,0.00,0,0.00,21.09,2703,0
OUSM,2688,0,0.00,0,0.00,36.83,2688,0
MOTI,2686,0,0.00,0,0.00,31.31,1663,1023
SMMD,2673,0,0.00,0,0.00,58.56,2673,0
TMAT,2646,0,0.00,0,0.00,14.66,2246,400
IBHF,2623,0,0.00,0,0.00,22.64,2623,0
DRSK,2597,0,0.00,0,0.00,24.67,2597,0
YJUN,2567,0,0.00,0,0.00,20.29,2167,400
DFNL,2559,0,0.00,0,0.00,27.83,2559,0
GJUN,2502,0,0.00,0,0.00,30.49,2502,0
XDEC,2442,0,0.00,0,0.00,33.11,2201,241
SLVP,2409,0,0.00,0,0.00,9.54,2409,0
JEMA,2400,0,0.00,0,0.00,36.13,2400,0
QVAL,2392,0,0.00,0,0.00,37.77,2197,195
XDOC,2310,0,0.00,0,0.00,24.93,2310,0
XJUN,2308,0,0.00,0,0.00,33.84,2308,0
KAPR,2302,0,0.00,0,0.00,27.91,402,1900
DUSA,2290,0,0.00,0,0.00,33.02,2290,0
ARKX,2265,0,0.00,0,0.00,14.62,2045,220
OGIG,2264,0,0.00,0,0.00,32.06,2264,0
JBBB,2237,0,0.00,0,0.00,47.41,2237,0
SATO,2216,0,0.00,0,0.00,8.60,2216,0
PFEB,2205,0,0.00,0,0.00,31.22,2205,0
FLHY,2175,0,0.00,0,0.00,22.77,2175,0
HYBL,2139,0,0.00,0,0.00,27.64,2139,0
MSTB,2128,0,0.00,0,0.00,27.36,2128,0
GJAN,2108,0,0.00,0,0.00,32.99,2108,0
FLTN,2100,0,0.00,0,0.00,20.35,2100,0
RESD,2100,0,0.00,0,0.00,27.72,2100,0
TUSI,2100,0,0.00,0,0.00,25.03,1800,300
LQDW,2071,0,0.00,0,0.00,32.36,1871,200
EDEN,2038,0,0.00,0,0.00,104.58,2038,0
DMAR,2000,0,0.00,0,0.00,32.64,1100,900
GMAY,1995,0,0.00,0,0.00,31.55,1995,0
FYLD,1994,0,0.00,0,0.00,24.41,1994,0
DJUL,1940,0,0.00,0,0.00,34.99,1940,0
IBHG,1925,0,0.00,0,0.00,21.73,1925,0
BRLN,1900,0,0.00,0,0.00,52.33,1800,100
KJAN,1847,0,0.00,0,0.00,32.39,1847,0
XBTF,1789,0,0.00,0,0.00,24.89,1788,1
EMHY,1770,0,0.00,0,0.00,34.68,1692,78
EYLD,1761,0,0.00,0,0.00,29.01,1761,0
TBJL,1753,0,0.00,0,0.00,19.47,1753,0
XSEP,1752,0,0.00,0,0.00,34.39,1752,0
GTIP,1713,0,0.00,0,0.00,47.99,1713,0
IBHI,1701,0,0.00,0,0.00,22.17,1701,0
IBML,1699,0,0.00,0,0.00,25.47,1699,0
GMOM,1680,0,0.00,0,0.00,27.75,1680,0
LQDI,1679,0,0.00,0,0.00,25.21,1679,0
HYDB,1675,0,0.00,0,0.00,44.59,1675,0
TOKE,1675,0,0.00,0,0.00,6.19,1675,0
GDE,1672,0,0.00,0,0.00,25.57,1672,0
TMFG,1657,0,0.00,0,0.00,27.41,1657,0
VFMO,1635,0,0.00,0,0.00,121.84,1635,0
FCTR,1617,0,0.00,0,0.00,26.14,1617,0
GAA,1616,0,0.00,0,0.00,26.83,1616,0
PBUS,1616,0,0.00,0,0.00,45.05,1616,0
SMAY,1602,0,0.00,0,0.00,21.10,1602,0
OUSA,1585,0,0.00,0,0.00,44.28,1535,50
MEAR,1576,0,0.00,0,0.00,49.82,1576,0
CEFS,1567,0,0.00,0,0.00,18.50,1490,77
FSMO,1550,0,0.00,0,0.00,22.38,1450,100
BUFF,1546,0,0.00,0,0.00,38.44,1546,0
WUGI,1523,0,0.00,0,0.00,47.53,1523,0
HYXU,1508,0,0.00,0,0.00,47.04,1508,0
DUDE,1500,0,0.00,0,0.00,21.73,1500,0
SEPZ,1500,0,0.00,0,0.00,33.24,1500,0
PJAN,1486,0,0.00,0,0.00,35.65,1386,100
GEMD,1481,0,0.00,0,0.00,39.33,1321,160
FCLD,1477,0,0.00,0,0.00,20.21,1477,0
HAUS,1469,0,0.00,0,0.00,15.74,1469,0
EWGS,1460,0,0.00,0,0.00,59.82,1460,0
ZIVB,1456,0,0.00,0,0.00,20.38,1456,0
PAWZ,1455,0,0.00,0,0.00,50.22,1455,0
WFHY,1443,0,0.00,0,0.00,44.28,1443,0
IGEB,1424,0,0.00,0,0.00,43.31,1424,0
NURE,1406,0,0.00,0,0.00,29.05,1406,0
XMAR,1389,0,0.00,0,0.00,31.86,1389,0
GLOV,1386,0,0.00,0,0.00,41.44,1386,0
PSFJ,1380,0,0.00,0,0.00,24.00,1380,0
RESE,1362,0,0.00,0,0.00,28.27,1362,0
FDRV,1305,0,0.00,0,0.00,18.68,1305,0
XDSQ,1304,0,0.00,0,0.00,29.39,1079,225
FLDR,1286,0,0.00,0,0.00,49.68,1286,0
JPIB,1283,0,0.00,0,0.00,46.06,1283,0
EPRF,1281,0,0.00,0,0.00,17.89,1281,0
IYJ,1278,0,0.00,0,0.00,108.36,1278,0
QDEC,1257,0,0.00,0,0.00,22.73,1257,0
HYGW,1236,0,0.00,0,0.00,35.22,1236,0
SNPD,1206,0,0.00,0,0.00,25.07,706,500
GMAR,1202,0,0.00,0,0.00,32.19,1202,0
BBIB,1201,0,0.00,0,0.00,96.57,1201,0
SNAV,1184,0,0.00,0,0.00,27.23,1184,0
FFTI,1174,0,0.00,0,0.00,20.23,1174,0
GSEW,1173,0,0.00,0,0.00,63.15,1173,0
WEED,1173,0,0.00,0,0.00,28.10,1173,0
YMAR,1150,0,0.00,0,0.00,20.96,1150,0
HSRT,1130,0,0.00,0,0.00,38.23,1130,0
PWS,1129,0,0.00,0,0.00,27.90,1129,0
HEGD,1119,0,0.00,0,0.00,18.79,1119,0
APRH,1102,0,0.00,0,0.00,25.09,1102,0
QTJL,1102,0,0.00,0,0.00,25.67,402,700
IDUB,1101,0,0.00,0,0.00,19.85,1101,0
BJUN,1085,0,0.00,0,0.00,34.01,1085,0
IETC,1081,0,0.00,0,0.00,57.02,1081,0
SVAL,1061,0,0.00,0,0.00,28.33,1061,0
